Name,senolytic,Anti-aging Probability,BalabanJ,Chi2v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,FpDensityMorgan3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Kappa3,MaxAbsPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MolMR,MolWt,PEOE_VSA12,PEOE_VSA14,PEOE_VSA3,PEOE_VSA5,PEOE_VSA9,SMR_VSA10,SMR_VSA4,SMR_VSA7,SMR_VSA9,SlogP_VSA1,VSA_EState2,VSA_EState5,VSA_EState7
Dicyclomine hydrochloride,1,0.45326188,1.936816541,7.2145352,0,4.794537184,0,11.38429576,12.52478801,2.181818182,-0.57,22,274.214,4.244923978,0.463894691,0.130792706,0.311895419,90.84,309.494,0,5.969305288,0,0,5.414990469,5.969305288,11.33289652,0,0,0,15.25760015,0.716443951,12.29780975
Aprepitant,1,0.83548355,1.663294522,8.437221439,53.4222982,35.52744252,0,30.60586143,24.24094203,2.216216216,-3.23,37,513.264,6.37373478,0.415936663,0.042692954,0.349264174,114.4454,534.432,0,18.04234043,14.28363404,0,36.42434857,0,0,86.84428137,0,5.689743398,16.98425079,-0.239214098,-12.42968882
Sulconazole nitrate,1,0.43398148,1.795891333,7.822540401,0,0,0,5.24993803,10.04526663,2.416666667,-1.13,24,382.638,4.70015588,0.336040017,0.194115489,0.094589228,104.177,397.758,0,0,4.983978521,11.76188495,6.327320075,46.56470462,0,87.38037962,0,0,4.118381235,0.870523825,5.559263029
Nimodipine,1,0.08913693,2.602707346,7.070241173,22.77982767,19.70339264,0,36.15132565,16.95753012,2.333333333,-3.2,30,392.238,5.235354273,0.459804712,0.03000105,0.336505829,108.4361,418.446,0,11.93861058,9.589074368,0,34.69827451,17.62599685,0,62.48352572,0,5.316788604,36.56662156,-2.134679994,-0.381789792
Celecoxib,1,0.7690802,2.160670373,7.290739737,21.89351767,21.58904213,0,16.27679775,5.563451492,2.076923077,-2.65,26,367.267,3.630382562,0.434698535,0.137651035,0.232504849,90.1122,381.379,10.02329115,6.176298517,18.23857366,0,16.27679775,10.02329115,5.138973738,65.8546831,16.94476576,5.138973738,-0.137651035,0,-4.605917134
Avobenzone,1,0.85195285,2.068724403,6.578981175,0,9.589074368,0,23.40230199,16.87641482,1.652173913,-2.42,23,288.217,4.284862375,0.49676779,0.04215449,0.170108394,91.414,310.393,0,0,0,0,13.53061916,11.56648989,0,65.22129102,5.749511833,4.736862954,24.45956223,0.342105366,-0.123816138
Cyclandelate,1,0.4746312,1.973683131,6.78545108,12.07327168,9.901064579,0,11.51895686,11.48135754,2.55,-1.35,20,252.184,3.82539733,0.460170989,0.083692366,0.339424849,78.0778,276.376,0,5.969305288,4.794537184,0,0,5.969305288,11.33289652,35.89528683,0,0,12.05716742,0.010664945,1.638861123
Allylestrenol,1,0.47657967,1.624081381,8.8085143,5.601050811,5.106527395,0,5.414990469,0,2.909090909,-0.56,22,268.23,1.935520072,0.388989503,0.13714392,0.073757608,91.4668,300.486,0,0,0,6.578935684,5.601050811,0,29.08661465,24.30408043,0,0,0,3.437148264,17.01220883
Artenimol,1,0.6808786,1.817281732,7.295866811,23.96821542,5.106527395,0,11.83581209,11.83581209,2.65,-0.2,20,260.16,1.557191034,0.367604464,0.037876039,0.201281795,69.0468,284.352,5.787111153,0,9.775141907,0,0,0,23.67162418,0,0,0,11.62555367,0.436706822,2.723659769
Azacyclonol,1,0.2782568,2.069930144,5.522705879,5.601050811,5.106527395,0,5.917906046,0,1.7,-1.64,20,246.204,2.369536569,0.38010114,0.257916667,0.117481217,81.4765,267.372,0,0,0,0,0,0,5.917906046,71.79057367,0,5.316788604,0,0.257916667,2.000572562
Cyclosporin A,1,0.7826625,4.320268725,26.09260201,155.7998262,48.25736205,9.589074368,55.7757323,6.420821623,1.317647059,-6.13,85,1090.747,21.65558178,0.390126486,0.022871036,0.245643649,328.4446,1202.635,64.97897702,0,0,0,12.64872279,64.97897702,41.42534232,12.15204021,0,21.26715442,168.5176416,-9.707807855,3.042918338
Digoxin,1,0.9167081,0.837498199,18.81563603,90.92578535,35.43370155,0,61.11132712,18.75954929,1.872727273,-1.27,55,716.437,6.950374052,0.457979647,0.045206267,0.330661014,192.6108,780.949,0,5.969305288,4.794537184,0,54.43278191,5.969305288,34.50160512,11.64912464,0,0,11.94416009,0.204181914,-1.511880896
Nitrofural,1,0.044847906,2.63740095,2.167364845,16.83860776,14.90885545,0,5.760247419,0,2.928571429,-2.38,14,192.09,2.587781268,0.433061637,0.143935185,0.399592401,45.6755,198.138,0,11.91529671,10.22032858,0,12.28096765,18.12989729,10.835075,28.00729982,0,11.15945887,19.65363124,-0.253726852,1.095
Roxithromycin,1,0.5389832,2.219752957,17.73363586,101.7519001,30.32717416,0,44.80809636,18.73938859,2.137931034,-1.58,58,760.45,12.0722166,0.458936591,0.03068726,0.31118842,212.466,837.058,6.792942306,5.969305288,0,0,66.56528854,11.68099029,28.82733691,0,0,0,21.79480217,-4.140046102,-9.493823708
Luteolin,1,0.9971439,2.294345957,4.516426576,5.428790392,25.22064676,0,39.72753911,5.563451492,2.285714286,-3.15,21,276.159,2.121592092,0.507678166,0.0162637,0.196579174,74.5792,286.239,0,0,0,0,0,10.96924436,0,46.62152999,34.32174624,5.428790392,12.04333727,-1.13270025,0
Enoxacin,1,0.45132652,2.243584852,5.365082055,17.21531652,13.97948942,0,16.76753848,25.28144644,2.739130435,-2.48,23,303.188,2.653353739,0.477497013,0.010986631,0.340724893,83.677,320.324,5.428790392,5.969305288,14.16893075,0,5.386224214,22.8205695,0,33.86721055,0,15.64548873,29.58752206,-1.739762567,1.26333727
Atorvastatin,1,0.7799929,1.891136859,10.41314078,24.59805969,24.19254421,0,37.02870627,28.07166874,2.048780488,-4.27,41,523.37,7.279067289,0.481159428,0.093893979,0.30547243,157.2466,558.65,0,5.969305288,4.390415048,0,29.88613388,17.56387129,0,102.0037393,22.38428247,5.316788604,25.0234545,-1.934556744,-2.50739841
Azithromycin,1,0.58699644,2.174897674,17.16511252,95.95792882,30.32717416,0,37.32617813,12.96557803,2.115384615,-1.01,52,676.42,10.04336289,0.458935816,0.133071708,0.311188426,194.179,748.996,0,5.969305288,0,0,41.53587322,5.969305288,17.75371814,0,0,0,18.044394,-2.584215013,-8.189621262
Nitazoxanide,1,0.87578696,2.194885608,4.813787162,16.79979607,19.70339264,0,21.44560378,0,2.714285714,-2.81,21,298.215,3.600616933,0.425872708,0.087340797,0.345180814,74.4726,307.287,0,10.97038726,4.983978521,0,10.48676254,33.34591135,0,46.14008161,5.749511833,10.05365156,36.76012262,-1.023342368,1.05382304
Adapalene,1,0.8152325,1.427942981,10.19480984,5.969305288,9.901064579,0,5.414990469,5.563451492,2.064516129,-2.81,31,384.305,3.051724842,0.496454902,0.281091857,0.335201021,122.7453,412.529,0,5.969305288,4.794537184,0,12.67324903,16.74175372,17.75371814,65.7242066,16.87641482,4.736862954,11.28195446,2.828769749,8.246311537
